optimizer,seed,learning_rate,epochs_run,best_epoch,best_val_loss,threshold,accuracy,precision,recall,f1,roc_auc,true_negative,false_positive,false_negative,true_positive
adam,42,0.001,26,16,0.4188821017742157,0.5,0.8020833333333334,0.6437246963562753,0.5678571428571428,0.603415559772296,0.8447049889543445,688,88,121,159
adam,123,0.001,33,23,0.4198751747608185,0.5,0.8087121212121212,0.6805555555555556,0.525,0.592741935483871,0.8435359904270986,707,69,133,147
adam,456,0.001,29,19,0.42036694288253784,0.5,0.7945075757575758,0.6153846153846154,0.6,0.6075949367088608,0.8456806885125184,671,105,112,168
adam,789,0.001,40,30,0.41667500138282776,0.5,0.7992424242424242,0.640495867768595,0.5535714285714286,0.5938697318007663,0.8461087076583211,689,87,125,155
adam,2026,0.001,31,21,0.41545721888542175,0.5,0.8077651515151515,0.6584362139917695,0.5714285714285714,0.6118546845124283,0.8478345913107511,693,83,120,160
rmsprop,42,0.001,31,21,0.42060616612434387,0.5,0.7954545454545454,0.6403508771929824,0.5214285714285715,0.5748031496062992,0.8426293262150222,694,82,134,146
rmsprop,123,0.001,36,26,0.4221639931201935,0.5,0.8087121212121212,0.6695652173913044,0.55,0.6039215686274509,0.8421690905743741,700,76,126,154
rmsprop,456,0.001,29,19,0.4232141971588135,0.5,0.7935606060606061,0.6148148148148148,0.5928571428571429,0.6036363636363636,0.8436142304860088,672,104,114,166
rmsprop,789,0.001,46,36,0.42125532031059265,0.5,0.8020833333333334,0.6485355648535565,0.5535714285714286,0.5973025048169557,0.8431862113402062,692,84,125,155
rmsprop,2026,0.001,26,16,0.4167848527431488,0.5,0.8039772727272727,0.6622222222222223,0.5321428571428571,0.5900990099009901,0.845054768041237,700,76,131,149
sgd,42,0.01,150,149,0.41812384128570557,0.5,0.803030303030303,0.65,0.5571428571428572,0.6,0.8456944955817377,692,84,124,156
sgd,123,0.01,90,80,0.42126113176345825,0.5,0.8020833333333334,0.6485355648535565,0.5535714285714286,0.5973025048169557,0.8423531848306334,692,84,125,155
sgd,456,0.01,82,72,0.42239439487457275,0.5,0.8039772727272727,0.6308243727598566,0.6285714285714286,0.629695885509839,0.8442723674521355,673,103,104,176
sgd,789,0.01,64,54,0.419900119304657,0.5,0.8068181818181818,0.6507936507936508,0.5857142857142857,0.6165413533834586,0.8449627209131075,688,88,116,164
sgd,2026,0.01,102,92,0.4165675640106201,0.5,0.8058712121212122,0.6582278481012658,0.5571428571428572,0.6034816247582205,0.8459706369661267,695,81,124,156
